"indicator_id","indicator_name"
"DP.DOD.DECF.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
"DP.DOD.DECF.CR.GG.Z1","Gross PSD, General Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
"DP.DOD.DECF.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
"DP.DOD.DECN.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
"DP.DOD.DECN.CR.CG.Z1","Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
"DP.DOD.DECN.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
"DP.DOD.DECN.CR.GG.Z1","Gross PSD, General Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
"DP.DOD.DECN.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
"DP.DOD.DECT.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, % of GDP"
"DP.DOD.DECT.CR.CG.Z1","Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, % of GDP"
"DP.DOD.DECT.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
"DP.DOD.DECT.CR.GG.Z1","Gross PSD, General Gov., All maturities, All instruments, Nominal Value, % of GDP"
"DP.DOD.DECT.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
"DP.DOD.DECX.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
"DP.DOD.DECX.CR.CG.Z1","Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
"DP.DOD.DECX.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
"DP.DOD.DECX.CR.GG.Z1","Gross PSD, General Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
"DP.DOD.DECX.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.GG.Z1","Gross PSD, General Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
