"flow_id","code","code_name"
"IRFCL","IRFCLDT2_IRFCL1T_IN_LP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1T_SHP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Short positions"
"IRFCL","IRFCLDT2_IRFCL1T_SHP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Short positions"
"IRFCL","IRFCLDT2_IRFCL1T_SHP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Short positions"
"IRFCL","IRFCLDT2_IRFCL24_SM1MUT3M_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL24_SM1MUT3M_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL24_SM3MUTY_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, More than 3 months and up to 1 year"
"IRFCL","IRFCLDT2_IRFCL24_SM3MUTY_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, More than 3 months and up to 1 year"
"IRFCL","IRFCLDT2_IRFCL24_SUTM_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, Up to 1 month"
"IRFCL","IRFCLDT2_IRFCL24_SUTM_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, Up to 1 month"
"IRFCL","IRFCLDT2_IRFCL26_SM1MUT3M_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SM1MUT3M_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SM1MUT3M_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SM1MUT3M_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 1 and up to 3 months, Inflows"
"IRFCL","IRFCLDT2_IRFCL26_SM1MUT3M_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 1 and up to 3 months, Inflows"
"IRFCL","IRFCLDT2_IRFCL26_SM3MUTY_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SM3MUTY_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SM3MUTY_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 3 months and up to 1 year, Outflows (reserves template)"
