flow_id,flow_name,dsd_ref,concept_ref,codelist_id,indicator_candidate,code,code_name,parent_code
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSUNO,"Sunflower oil, Export price, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PNGASEU,"Natural gas, EU, Unit prices, US dollars per million metric British thermal units of gas",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PZINC,"Zinc, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPPSH,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,D_NGDPD,"External debt, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPPPC,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSP_BX,"External debt: total debt service, amortization, Percent of exports of goods and services",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPORK,"Swine, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSAWMAL,"Hard sawnwood, Dark Red Meranti, Unit prices, US dollars per cubic meter",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PORANG,"Orange, Import price, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PTIN,"Tin, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPOULT,"Poultry, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSI_BX,"External debt: total debt service, interest, Percent of exports of goods and services",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDPDPC,"Gross domestic product (GDP), Current prices, Per capita, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSAWORE,"Soft sawnwood, Export price, US dollars per cubic meter",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PROIL,"Rapeseed oil, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PLAMB,"Lamb, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PBARL,"Barley, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PLOGORE,"Soft logs, Export price, US dollars per cubic meter",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGR_NGDP,"Revenue, General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TRADEPCH,"Trade of goods and services, Volume, Percent change",NA
